;DeltaOz_Reposo_EEG _AO.csv;ThetaOz_Reposo_EEG _AO.csv;AlphaOz_Reposo_EEG _AO.csv;BetaOz_Reposo_EEG _AO.csv;DeltaO1O2_Reposo_EEG _AO.csv;ThetaO1O2_Reposo_EEG _AO.csv;AlphaO1O2_Reposo_EEG _AO.csv;BetaO1O2_Reposo_EEG _AO.csv;DeltaPO_Reposo_EEG _AO.csv;ThetaPO_Reposo_EEG _AO.csv;AlphaPO_Reposo_EEG _AO.csv;BetaPO_Reposo_EEG _AO.csv;DeltaPOL_Reposo_EEG _AO.csv;ThetaPOL_Reposo_EEG _AO.csv;AlphaPOL_Reposo_EEG _AO.csv;BetaPOL_Reposo_EEG _AO.csv;DeltaPOR_Reposo_EEG _AO.csv;ThetaPOR_Reposo_EEG _AO.csv;AlphaPOR_Reposo_EEG _AO.csv;BetaPOR_Reposo_EEG _AO.csv;DeltaOz_Reposo_EEG_OD.csv;ThetaOz_Reposo_EEG_OD.csv;AlphaOz_Reposo_EEG_OD.csv;BetaOz_Reposo_EEG_OD.csv;DeltaO1O2_Reposo_EEG_OD.csv;ThetaO1O2_Reposo_EEG_OD.csv;AlphaO1O2_Reposo_EEG_OD.csv;BetaO1O2_Reposo_EEG_OD.csv;DeltaPO_Reposo_EEG_OD.csv;ThetaPO_Reposo_EEG_OD.csv;AlphaPO_Reposo_EEG_OD.csv;BetaPO_Reposo_EEG_OD.csv;DeltaPOL_Reposo_EEG_OD.csv;ThetaPOL_Reposo_EEG_OD.csv;AlphaPOL_Reposo_EEG_OD.csv;BetaPOL_Reposo_EEG_OD.csv;DeltaPOR_Reposo_EEG_OD.csv;ThetaPOR_Reposo_EEG_OD.csv;AlphaPOR_Reposo_EEG_OD.csv;BetaPOR_Reposo_EEG_OD.csv;DeltaOz_Reposo_EEG_OI.csv;ThetaOz_Reposo_EEG_OI.csv;AlphaOz_Reposo_EEG_OI.csv;BetaOz_Reposo_EEG_OI.csv;DeltaO1O2_Reposo_EEG_OI.csv;ThetaO1O2_Reposo_EEG_OI.csv;AlphaO1O2_Reposo_EEG_OI.csv;BetaO1O2_Reposo_EEG_OI.csv;DeltaPO_Reposo_EEG_OI.csv;ThetaPO_Reposo_EEG_OI.csv;AlphaPO_Reposo_EEG_OI.csv;BetaPO_Reposo_EEG_OI.csv;DeltaPOL_Reposo_EEG_OI.csv;ThetaPOL_Reposo_EEG_OI.csv;AlphaPOL_Reposo_EEG_OI.csv;BetaPOL_Reposo_EEG_OI.csv;DeltaPOR_Reposo_EEG_OI.csv;ThetaPOR_Reposo_EEG_OI.csv;AlphaPOR_Reposo_EEG_OI.csv;BetaPOR_Reposo_EEG_OI.csv;DeltaOz_Reposo_EEG.csv;ThetaOz_Reposo_EEG.csv;AlphaOz_Reposo_EEG.csv;BetaOz_Reposo_EEG.csv;DeltaO1O2_Reposo_EEG.csv;ThetaO1O2_Reposo_EEG.csv;AlphaO1O2_Reposo_EEG.csv;BetaO1O2_Reposo_EEG.csv;DeltaPO_Reposo_EEG.csv;ThetaPO_Reposo_EEG.csv;AlphaPO_Reposo_EEG.csv;BetaPO_Reposo_EEG.csv;DeltaPOL_Reposo_EEG.csv;ThetaPOL_Reposo_EEG.csv;AlphaPOL_Reposo_EEG.csv;BetaPOL_Reposo_EEG.csv;DeltaPOR_Reposo_EEG.csv;ThetaPOR_Reposo_EEG.csv;AlphaPOR_Reposo_EEG.csv;BetaPOR_Reposo_EEG.csv
S28;0.357907058;0.310736037;0.17287582;0.155866076;0.253159888;0.195014855;0.318160157;0.230258451;0.254794501;0.178564349;0.326357071;0.237853186;0.259583003;0.212202737;0.298743528;0.227190318;0.18009432;0.142443676;0.396931457;0.27797289;0.264788937;0.348944506;0.192153572;0.19151742;0.167917517;0.301161894;0.241153981;0.287290175;0.163263843;0.260751144;0.236739592;0.33640595;0.202122531;0.292163617;0.238887724;0.264470234;0.138475242;0.223494435;0.260730462;0.374542247;0.339341005;0.340516342;0.149239976;0.167640235;0.237791632;0.265188332;0.223907956;0.270176889;0.254558521;0.22892123;0.220398567;0.294009093;0.254552089;0.270698647;0.198170311;0.274401047;0.199370797;0.180053511;0.270062592;0.348177475;0.221513101;0.191018996;0.437418045;0.148275076;0.074475729;0.103276904;0.687651944;0.133602484;0.051755516;0.080248419;0.743612195;0.123574519;0.08309149;0.092454983;0.68100182;0.142757538;0.046312427;0.06180209;0.766446298;0.124375656
S29;0.162714701;0.193922579;0.367522353;0.266157547;0.113398062;0.132805041;0.565708523;0.183747343;0.188666265;0.143961066;0.526493874;0.13787755;0.116664995;0.15128762;0.534778667;0.191421929;0.086129492;0.107252473;0.632310932;0.170977606;0.257363393;0.177844199;0.226632404;0.331717232;0.192089441;0.186282299;0.355208925;0.262242309;0.265993614;0.206551034;0.334938565;0.190287557;0.178746898;0.204902047;0.348032056;0.264624403;0.123199416;0.132708335;0.491464639;0.249458286;0.201131193;0.21082272;0.266357358;0.311062976;0.195487061;0.167297817;0.383734841;0.248144053;0.263449286;0.205709366;0.333910743;0.193273157;0.186454691;0.197712855;0.354132154;0.255190428;0.156810741;0.159130304;0.435324898;0.243973838;0.053648048;0.071127437;0.706106795;0.164252818;0.027265527;0.049742336;0.826031248;0.095934408;0.022035282;0.050573835;0.850928576;0.075932646;0.023105274;0.050066756;0.844424834;0.081243624;0.021693529;0.047339296;0.83480723;0.095305742
S30;0.099574717;0.21903878;0.30496989;0.373057443;0.091883546;0.188952198;0.317099511;0.398345044;0.096598377;0.159509889;0.377049915;0.363093449;0.08155255;0.1687108;0.370912972;0.376304761;0.074777177;0.144413646;0.413370038;0.364318229;0.104054997;0.254546208;0.273863435;0.364541033;0.104628658;0.170811567;0.295157315;0.426918038;0.093716156;0.131231418;0.331796057;0.439287451;0.079439192;0.159031121;0.32951208;0.429040834;0.089792524;0.133512588;0.334661486;0.438941357;0.127126088;0.166355221;0.271852513;0.432623042;0.102071159;0.126827262;0.30151138;0.467425661;0.093415912;0.12792037;0.3235038;0.452327277;0.074719138;0.113665107;0.361648459;0.447782652;0.106057165;0.12445199;0.304810385;0.462321605;0.109020954;0.167148824;0.389120703;0.333325484;0.122065911;0.179869732;0.363380155;0.332699565;0.087888193;0.198967827;0.395875675;0.314956722;0.086168781;0.166627223;0.409986133;0.335601928;0.105066296;0.180222553;0.414471485;0.298121822
S31;0.332572975;0.221793754;0.178524881;0.263416601;0.334134925;0.253452688;0.179672731;0.229265689;0.312574947;0.331330838;0.168365014;0.184650839;0.305941998;0.274655316;0.169498136;0.246639191;0.293704881;0.292432279;0.190756976;0.219160607;0.155967276;0.201575549;0.286873954;0.347144318;0.151446219;0.163745633;0.324830437;0.350897446;0.169213667;0.211847439;0.306043749;0.305626686;0.12449283;0.196953893;0.319111891;0.350633309;0.123317112;0.157003513;0.295520007;0.413284726;0.280010963;0.258641071;0.200005787;0.257952818;0.229801488;0.2480946;0.237370581;0.280069606;0.263659071;0.273411207;0.23697344;0.222141721;0.243033639;0.236496419;0.229356866;0.286607365;0.247991496;0.268671263;0.250454232;0.229054701;0.093786048;0.161263491;0.325434863;0.409929632;0.100613661;0.126022052;0.415383452;0.347486103;0.212511742;0.17703849;0.367511855;0.23652803;0.139023535;0.154078837;0.311693839;0.382427803;0.215852911;0.131266499;0.409845877;0.235910554
S32;0.135092203;0.264566946;0.300307173;0.297525903;0.164368608;0.202269716;0.340622026;0.290698044;0.201803739;0.216586929;0.322852749;0.256694475;0.164499929;0.189583082;0.35943915;0.284081795;0.151218329;0.215857804;0.34166998;0.288898651;0.193117351;0.216340466;0.311963015;0.275054761;0.135669737;0.188079224;0.390716564;0.281853824;0.145590046;0.200969006;0.393719596;0.256039679;0.144812399;0.19090045;0.379105032;0.281806957;0.116079796;0.172796602;0.445912141;0.261402756;0.155941452;0.187761383;0.375861783;0.274611086;0.080245011;0.157194659;0.478404115;0.281107976;0.077845614;0.174523757;0.477870911;0.267953887;0.083271884;0.160202936;0.46314939;0.290242241;0.086327455;0.154713555;0.492833535;0.263692202;0.064721261;0.15075259;0.609652004;0.171638707;0.047461569;0.111341078;0.710168937;0.128927261;0.046294651;0.120490678;0.722176217;0.109531706;0.043217147;0.104563215;0.736725473;0.113610674;0.045751037;0.121051083;0.717010533;0.114611693
S33;0.127308335;0.148879039;0.293399001;0.425481378;0.097993881;0.124187806;0.344888809;0.427037722;0.13963132;0.152694548;0.294331841;0.406395372;0.095867018;0.137260826;0.292894315;0.468400875;0.082790559;0.125619713;0.395574073;0.388919752;0.168523272;0.15579622;0.279396338;0.387551889;0.156086693;0.158672886;0.328212077;0.349361071;0.239843949;0.182193081;0.26428169;0.307680268;0.180269409;0.155412599;0.267555842;0.39023685;0.134365091;0.155679061;0.369167828;0.333713431;0.175591372;0.133263298;0.319574034;0.364798401;0.141087804;0.12671332;0.372180725;0.355721798;0.234139641;0.182751716;0.263965915;0.316031722;0.148013597;0.139922145;0.29900553;0.408497317;0.138428966;0.130929382;0.388536619;0.338021587;0.067415936;0.12233818;0.503529604;0.304329585;0.039961438;0.096937627;0.571155869;0.288256125;0.035625771;0.086307537;0.595797637;0.277857174;0.040500108;0.088737707;0.590489975;0.277113266;0.03083117;0.071996827;0.602013633;0.292027504
S34;0.045399437;0.076905082;0.781278527;0.095307921;0.029325331;0.060538655;0.825452489;0.084162542;0.04226225;0.082444504;0.792117376;0.082714977;0.031528015;0.07284087;0.804253536;0.090739986;0.029296439;0.067189163;0.815374907;0.087460544;0.165512216;0.191594969;0.4628976;0.176754384;0.092126651;0.134467769;0.611849836;0.159091262;0.149213852;0.201582764;0.499364419;0.147904473;0.108534556;0.153555687;0.543698563;0.191594072;0.095815659;0.17116816;0.551759813;0.178512725;0.109397393;0.117615729;0.58797471;0.182939212;0.052703496;0.079227353;0.717365008;0.149486195;0.074707697;0.122425174;0.645680357;0.15592815;0.067759353;0.113357935;0.614266141;0.202073243;0.048093716;0.083645017;0.72123171;0.145724097;0.047777221;0.07715967;0.780099639;0.093708844;0.025077249;0.050440181;0.848093668;0.075548949;0.027576684;0.056479461;0.848234823;0.066992363;0.027818746;0.054454863;0.843691268;0.073152166;0.024085721;0.051261395;0.840018326;0.083784996
S35;0.35630153;0.252131909;0.11462818;0.269699643;0.339440503;0.298313437;0.115634067;0.242417125;0.405415638;0.303093406;0.097711312;0.191557652;0.311223465;0.286360586;0.13003941;0.267010613;0.329437173;0.265786548;0.139545754;0.261877841;0.395286034;0.267285698;0.115952064;0.215286225;0.320619332;0.329567058;0.129853623;0.215792897;0.397693614;0.34026861;0.106518699;0.153531408;0.288582158;0.329128953;0.135948493;0.242131436;0.252800798;0.283198179;0.180074723;0.280146551;0.333920395;0.300475471;0.140149666;0.217330254;0.319614283;0.368650094;0.123871692;0.182794283;0.429307372;0.360292327;0.091615613;0.116459998;0.272636963;0.359920436;0.138577005;0.223802268;0.263448669;0.313641374;0.181082057;0.236384903;0.283679613;0.242306595;0.185644072;0.276834768;0.240759877;0.322701991;0.161181639;0.269844263;0.301998069;0.309094157;0.153968855;0.230869714;0.263885067;0.302676796;0.179883379;0.24967627;0.233395723;0.259772006;0.18889342;0.312245254
S36;0.178046755;0.200275421;0.28473756;0.328809057;0.2510358;0.211632408;0.363423432;0.169487363;0.310388454;0.238202976;0.333418861;0.1144945;0.208199975;0.203695653;0.410168275;0.174041938;0.20858304;0.182972652;0.366319627;0.233057397;0.136013338;0.181406045;0.532663033;0.147988218;0.07957708;0.148205723;0.677451549;0.09406156;0.09086084;0.158276688;0.665532622;0.084830518;0.066505626;0.12892825;0.70932503;0.094388605;0.076582352;0.143564992;0.681977231;0.096977785;0.068361534;0.161023694;0.676442456;0.09330885;0.033634213;0.174693534;0.737848144;0.053472449;0.02713975;0.18263148;0.749311516;0.040643863;0.032111813;0.148029777;0.776874232;0.0427289;0.028550086;0.174854647;0.751012642;0.0452446;0.050778443;0.170920042;0.693038836;0.084680919;0.030957525;0.132530597;0.783739305;0.052462975;0.030032278;0.136101305;0.793875031;0.039771344;0.028817046;0.121722883;0.807906183;0.041272098;0.030039433;0.143795878;0.781334287;0.044608159
S37;0.247093116;0.228397806;0.246316715;0.276595017;0.189725665;0.18534389;0.316764982;0.306744023;0.171368939;0.186150842;0.345894947;0.295038488;0.184619249;0.189236714;0.318046917;0.306695608;0.156167791;0.164127633;0.34313527;0.335083288;0.160407638;0.193997506;0.383940221;0.260204693;0.112783851;0.146242328;0.496753091;0.243070785;0.109404028;0.130218275;0.544969442;0.214457913;0.110407478;0.147013618;0.493414936;0.248011771;0.079400055;0.125959686;0.56412308;0.229505395;0.169070373;0.232802616;0.327629247;0.268831312;0.130403745;0.153546256;0.451225002;0.26341217;0.14269473;0.138251173;0.478219367;0.239428939;0.140519591;0.155454488;0.438825712;0.263703101;0.106486923;0.144046726;0.447499613;0.30023726;0.049722266;0.158464239;0.650777495;0.14018558;0.038065168;0.118728891;0.728197255;0.114436434;0.036563025;0.095233898;0.765610582;0.102056151;0.03669618;0.111277615;0.735980802;0.115597185;0.039882444;0.098606932;0.741687824;0.119122824
