;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR;SCORE_1;SCORE_2;SCORE_3;SCORE_4;SCORE_5;SCORE_6;SCORE_7;SCORE_8
S33;Reposo_EEG _AO;11.44239931;19.45539715;37.17219599;120.174246;11.15566136;12.49918585;29.95060248;86.65438084;12.92107552;20.6662896;36.72663463;115.3639372;12.84746551;15.49384485;28.84053261;97.36518577;36.02435189;34.11051526;45.90350419;154.0158616;36.96923589;33.20552164;40.05458232;147.4393035;36.67330309;32.82817837;42.21418763;145.5217606;35.16412791;31.10456132;39.27411678;142.4226522;36.81761792;33.71229458;43.93251511;146.5133721;35.6059532;25.03505792;28.2553818;114.2535665;-9.51181;3.55053;-1.21055;-2.75888;0.626658;-2.94751;4.80971;3.45638
S34;Reposo_EEG _AO;16.26767102;21.13028136;38.22433558;121.196662;11.41485617;14.17704271;34.21040903;88.24706073;17.98715238;20.85793594;36.57602919;108.1314955;15.09512856;19.72770483;33.572231;96.1808902;35.49019492;35.64338643;47.87960662;150.4815056;35.43391187;31.65931205;42.89159669;131.2359008;33.71028768;31.4333919;41.40519491;123.2459909;31.85426594;29.34297041;42.16885688;126.8755086;32.00039626;30.41244067;42.43502625;126.9802847;28.44835086;20.52752948;31.71227532;78.87762563;-7.13827;-1.12886;-1.86068;-1.70151;-7.43755;-6.97023;2.42925;2.14558
S35;Reposo_EEG _AO;14.58281882;17.65864745;31.71845595;108.2477423;13.30394632;12.4230348;25.5076957;73.82626464;14.97223528;20.43559052;33.34929581;113.072694;13.80924746;16.12682867;30.09092885;86.71282848;37.13989176;36.25732965;45.12995107;148.5223952;37.55817122;36.14709902;42.49356759;144.5077268;36.23911425;33.54833826;38.93678687;128.6766512;34.87070441;32.63656961;41.72596906;129.6336065;36.09734689;33.64405126;40.15662086;135.3036428;34.42601356;29.72554486;31.6340203;98.00574813;-10.4239;2.95106;-6.03917;-5.24209;-3.15134;-0.94864;4.75136;3.05212
S36;Reposo_EEG _AO;17.28359567;17.41948446;36.6545717;133.7297785;13.94454677;12.27419688;29.00569803;88.18234305;17.59122064;18.09763776;33.9187801;114.6109501;17.79440859;18.7911194;31.51128473;102.0059602;37.67496985;35.84595876;45.68591066;134.6209678;38.59447482;37.00283075;43.55188337;134.6119384;37.03494936;35.23022226;43.12320385;120.4455897;36.66756919;35.16231006;43.63778287;128.463802;35.73975085;32.944404;44.27718867;131.7955118;36.47155982;34.60536069;35.98345095;91.72008403;-6.56077;4.03164;-1.28152;0.384973;-3.43387;3.02612;6.55772;2.40018
S3;Reposo_EEG;24.20600235;27.84127962;42.40249179;142.4029221;14.57681959;19.64228871;36.77400339;113.4959852;23.34232793;25.1237943;38.03138882;125.4576764;24.81857506;25.67519891;40.60438404;128.352676;29.20532396;30.64031945;44.34992441;149.5505179;30.92602076;31.14580323;43.40651889;146.6708197;32.4876342;31.59726545;40.84999413;139.5887517;32.73342653;32.3986458;45.3703916;148.4115646;30.77895299;32.44917367;41.64593225;144.0025205;29.68153613;26.18091401;34.84145103;115.7581673;6.1979;0.630946;7.46873;4.54449;3.21742;0.782277;-0.0323818;0.315241
S5;Reposo_EEG;22.18415758;27.42886055;43.7191543;136.3920788;12.45860634;17.13606424;31.85874512;96.22531301;17.73734362;25.87165613;38.33010224;115.4419984;19.79487092;21.06855936;33.48633828;105.5993911;32.5823476;31.07003263;41.89392335;141.5910139;32.88552419;34.14169229;42.41633;138.4357859;34.01432175;29.70875351;39.20772833;127.9090125;34.02463562;31.39570314;38.43041132;133.9311969;34.0414696;32.50522115;41.87143368;135.6521803;29.9036744;26.23423399;29.25449416;93.27352165;-1.75877;-1.33979;0.784679;-3.03834;-3.62893;-2.53465;2.28112;1.3508
S6;Reposo_EEG;29.92849032;30.80508784;43.74667113;133.5534055;21.62465933;22.75780795;37.15019875;86.4844341;26.84602537;28.15113184;38.99303502;95.87437481;25.35229889;29.71274609;38.43049453;86.9346364;30.86333832;33.68998008;46.23062163;125.5752482;31.24932434;34.32557834;43.22870044;118.4430444;33.20169473;35.50569519;44.01436778;107.5273504;34.40153646;35.84016742;44.90557643;136.2927163;33.55512402;34.41878644;44.10320277;125.517914;28.78809828;32.08373084;35.72353158;83.50885226;8.7226;-1.71307;1.59218;4.3399;-6.52607;4.01668;3.72101;3.6187
S10;Reposo_EEG;21.10274922;29.20563761;46.53922649;137.5756658;13.56957462;18.91737604;41.84506033;110.4814569;19.16279646;24.91397942;40.97703114;121.5637193;21.27425782;28.45550803;43.71604976;123.6542593;36.05702278;34.06236039;48.5904453;160.5761817;36.89133309;35.78557838;45.335246;151.0357321;37.50474305;35.64332932;45.82196009;152.7014756;34.29308206;32.39378967;45.85589658;149.7237778;34.09427559;30.16046763;44.10379146;145.9974341;31.47131574;26.89753861;36.49313489;115.3534867;8.13646;9.59107;11.3306;9.88824;5.95956;1.17257;1.62091;2.52854
S11;Reposo_EEG;24.23839448;30.24957225;46.35050864;139.5725917;15.05558552;17.48854662;39.67879106;99.05136618;19.97229747;25.02408781;38.33061874;112.5223921;22.3538992;27.73653821;44.17336519;122.4719843;27.7664536;30.52387083;47.20442196;147.2491995;34.74199416;35.46744932;44.91137656;142.8339101;30.03558333;34.70433015;45.636902;141.1192262;30.80630677;33.20317353;46.64750188;143.8298496;25.99729802;30.58790359;43.33921227;136.1235444;25.30863267;30.10005857;36.99593606;107.2811039;7.85528;2.35383;7.42405;8.2389;1.95018;2.03948;-2.7492;-0.0982926
S13;Reposo_EEG;34.49731138;27.74489351;39.79564679;138.692151;23.39354152;15.31255942;28.26587762;97.68953915;30.1373637;23.68271191;33.84611755;114.1574809;32.54239841;23.98775746;33.31552577;123.4492182;33.25959252;31.17833062;43.71181518;148.3000105;35.59346006;35.32522382;43.90903357;144.5729725;36.89613004;35.26083063;43.56041824;147.4846151;35.52802786;32.65456857;42.98872817;140.8092242;33.95119455;31.57525415;42.38217443;138.5115965;33.29901157;29.96276898;36.43567748;111.7032282;8.01328;5.93362;3.57232;3.69666;3.36302;2.67623;3.51613;-1.435
