;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta;Theta;Alpha ;Beta
S18;Reposo_EEG _AO;0.212635174;0.302692848;0.245805987;0.236541399;0.210415129;0.299511963;0.257049698;0.230792386;0.192235495;0.286487466;0.291853053;0.227084099;0.221134784;0.283845321;0.250945231;0.241935131;0.22098562;0.266616492;0.260905937;0.249239039;0.200799016;0.283060694;0.266510103;0.247032194;0.219871332;0.277892064;0.25168679;0.247952615;0.29561531;0.400021369;0.36495136;0.336115373
S19;Reposo_EEG _AO;0.208907798;0.314295403;0.288917434;0.185213647;0.194249002;0.312136741;0.303132837;0.186979681;0.158416111;0.292027139;0.324836917;0.216715086;0.218040911;0.315225591;0.287810549;0.1767035;0.19856675;0.310134957;0.323526439;0.165880357;0.169791071;0.295906669;0.332142751;0.199201726;0.208645218;0.282685678;0.325684395;0.180950638;0.271323372;0.424482436;0.437210264;0.262328927
S20;Reposo_EEG _AO;0.424227998;0.268283831;0.162228582;0.144378231;0.348802484;0.283646888;0.195876724;0.170714412;0.362043234;0.256891364;0.206564832;0.173487456;0.365416922;0.281869247;0.174309393;0.177188928;0.369661617;0.26938449;0.172613646;0.186952961;0.34824632;0.290778647;0.201265422;0.158352861;0.362198607;0.282944663;0.201259084;0.152600309;0.516119436;0.386759826;0.262823537;0.232735031
S22;Reposo_EEG _AO;0.22033672;0.201525427;0.129016347;0.429747419;0.190498215;0.195006415;0.145522477;0.447635105;0.193061303;0.199934857;0.141068529;0.445204837;0.206676306;0.201720627;0.13488703;0.436616207;0.211595374;0.19623108;0.134079068;0.437162175;0.185015332;0.205809218;0.139462601;0.44895522;0.194356393;0.184114801;0.152477146;0.449194651;0.280307929;0.276868485;0.195302639;0.618903123
S24;Reposo_EEG _AO;0.239411385;0.328904913;0.241296463;0.18863771;0.240370793;0.319411655;0.243177533;0.19542511;0.202155512;0.325057324;0.252441217;0.218258452;0.254051642;0.317072582;0.242434016;0.184629165;0.251908258;0.314137175;0.246602561;0.185177967;0.214320914;0.302759909;0.278002571;0.202885883;0.235113027;0.312046024;0.262522301;0.18847266;0.327466306;0.443877916;0.353295332;0.27269739
S25;Reposo_EEG _AO;0.203035909;0.234400368;0.155910795;0.397782166;0.205159018;0.226938112;0.149632431;0.408746934;0.221664027;0.201085716;0.138793541;0.429194044;0.199956758;0.196485487;0.156606895;0.437682512;0.190372416;0.155445731;0.149592498;0.496484936;0.215515313;0.246881629;0.141802539;0.387690993;0.209835645;0.225282317;0.149031866;0.408813656;0.289107817;0.297303872;0.208274113;0.593279048
S26;Reposo_EEG _AO;0.144811569;0.308471197;0.290405214;0.252100185;0.106667741;0.284958427;0.322122833;0.28171209;0.120779708;0.265235242;0.306862772;0.301535889;0.111205401;0.275252984;0.355667935;0.253396548;0.181740527;0.290650668;0.307789517;0.216189281;0.108196491;0.276175787;0.341593157;0.268870368;0.123263153;0.266032416;0.367286178;0.240273672;0.179332918;0.393355344;0.458345521;0.362815606
S28;Reposo_EEG _AO;0.357907058;0.310736037;0.17287582;0.155866076;0.3315653;0.282912267;0.213554458;0.169020213;0.307643022;0.274629428;0.224436749;0.190895214;0.250511008;0.230766891;0.294242425;0.220690711;0.237961764;0.197263978;0.309177327;0.251552894;0.321839386;0.257233151;0.23483198;0.183899733;0.271194403;0.197186223;0.304128038;0.224809244;0.415724388;0.350145595;0.350649359;0.279346817
S29;Reposo_EEG _AO;0.162714701;0.193922579;0.367522353;0.266157547;0.154309924;0.177258138;0.414996878;0.245241127;0.132096498;0.135786484;0.493490418;0.229806831;0.129701826;0.14702056;0.476035218;0.240160425;0.097922532;0.098799417;0.604340973;0.193479573;0.241189815;0.231184336;0.275026318;0.24474946;0.197180419;0.191324817;0.370136784;0.234247808;0.223023143;0.235059266;0.600309789;0.330768554
S30;Reposo_EEG _AO;0.099574717;0.21903878;0.30496989;0.373057443;0.096038307;0.197132851;0.335455876;0.36805825;0.086734753;0.168977153;0.370465067;0.371330794;0.154383399;0.22244639;0.241828433;0.376633684;0.090562305;0.150537415;0.390410692;0.365991777;0.091672552;0.191655905;0.359814848;0.353708921;0.088533424;0.173361148;0.402067431;0.333328589;0.141499892;0.264629929;0.481002447;0.508421891
